OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
+,1360,28,780,53,656,656,188,645,454,810
+,1058,139,3,410,204,643,312,321,589,84
+,1047,161,255,528,730,992,786,850,664,781
+,893,867,608,702,420,811,961,327,462,489
+,1199,752,136,266,177,703,607,846,335,818
+,707,203,86,424,376,186,402,897,386,967
+,889,905,584,229,21,970,23,945,571,662
+,222,641,234,928,91,997,473,203,268,718
+,78,172,50,410,632,439,614,266,152,91
+,1155,376,174,969,580,120,14,735,538,445
+,1339,942,950,464,847,689,506,121,229,730
+,1174,195,968,882,832,800,272,294,764,506
+,1137,133,441,876,211,614,220,843,289,744
+,56,193,428,184,418,811,149,29,297,999
+,678,241,632,461,929,254,378,596,700,662
+,818,87,10,480,136,892,331,997,709,407
+,1371,217,730,392,725,433,753,611,262,74
+,719,570,60,53,340,953,240,482,930,362
+,571,961,686,990,821,612,726,766,829,46
+,1437,259,516,634,390,309,1000,404,687,379
+,1452,991,913,572,42,594,183,266,173,515
+,672,952,347,898,479,135,91,324,727,543
+,816,145,266,119,320,45,130,511,892,996
+,395,287,765,369,948,440,289,924,897,269
+,48,849,779,948,270,529,320,446,914,168
+,456,754,503,782,972,154,569,873,945,673
+,1434,817,450,54,193,152,55,235,187,36
+,625,266,167,722,478,446,118,916,949,506
+,716,452,365,726,574,496,468,504,115,866
+,942,887,151,126,357,95,208,889,290,184
+,408,172,767,520,842,279,576,912,679,599
+,455,597,994,4,538,785,584,184,426,942
+,963,252,786,510,693,96,908,336,26,291
+,79,696,124,403,382,604,951,974,108,857
+,783,157,29,83,471,850,724,675,491,464
+,221,978,275,608,673,5,337,993,44,671
+,1476,973,463,332,970,749,751,928,980,816
+,1350,132,216,883,49,820,659,289,330,817
+,508,761,72,560,974,616,390,94,408,261
+,843,245,988,789,886,408,91,21,872,213
+,680,397,798,412,291,662,770,977,669,157
+,367,305,502,820,442,753,825,943,317,925
+,50,617,134,367,681,98,852,376,524,204
+,844,456,906,397,487,274,576,614,433,92
+,362,432,830,377,628,190,444,645,436,95
+,332,525,349,996,474,692,229,663,702,730
+,1225,953,507,539,644,662,537,85,297,479
+,316,81,928,820,489,307,152,130,700,924
+,1223,861,254,535,437,302,582,48,564,78
+,724,46,525,110,522,435,422,96,475,676
+,210,582,832,259,363,260,599,83,787,515
+,1234,116,758,677,473,183,805,186,863,402
+,430,85,426,897,721,304,321,601,741,465
+,732,686,460,638,827,271,349,989,940,892
+,1263,191,216,189,80,764,618,265,892,689
+,746,444,547,18,5,404,119,13,175,671
+,631,471,708,414,889,673,988,762,616,743
+,85,310,633,832,997,631,369,707,689,986
+,261,691,404,823,309,89,128,138,14,195
+,880,835,16,712,993,192,879,27,214,492
+,303,148,665,247,446,862,641,878,808,551
+,1150,88,308,788,474,151,485,432,22,119
+,73,924,156,756,719,455,986,496,482,20
+,305,460,599,248,206,301,583,849,853,401
+,1233,341,8,105,645,867,730,442,425,868
+,1320,754,592,610,748,567,297,37,499,409
+,1163,525,605,742,626,957,694,926,836,888
+,875,237,731,62,540,19,432,590,323,566
+,904,274,914,663,427,910,484,119,506,637
+,1328,661,355,459,714,446,21,165,294,743
+,536,480,352,448,237,519,224,601,930,701
+,267,943,616,873,862,732,672,479,134,904
+,683,740,728,399,982,426,853,963,689,668
+,7,368,815,483,818,994,864,165,636,212
+,90,707,767,88,683,494,132,177,204,160
+,566,503,103,812,425,965,505,310,240,214
+,1253,48,18,367,902,267,365,693,162,178
+,1457,880,915,515,32,826,65,345,440,116
+,104,232,123,575,229,498,264,348,803,363
+,1355,47,788,898,570,273,917,154,873,706
+,1322,527,618,685,106,723,51,948,968,448
+,1035,468,985,861,773,113,998,108,800,625
+,540,800,878,970,104,843,575,42,519,107
+,416,645,120,891,210,932,370,160,745,299
+,702,452,780,518,510,750,891,101,157,662
+,431,342,838,141,125,868,206,449,992,425
+,577,787,6,251,854,828,485,349,293,517
+,557,87,272,381,732,772,424,369,644,680
+,1461,155,771,771,542,431,806,233,141,821
+,1435,423,940,419,919,469,974,872,528,813
+,219,370,966,30,453,149,788,10,734,825
+,236,966,71,86,346,322,411,790,168,444
+,1451,402,777,37,676,944,656,154,924,588
+,275,646,730,818,676,896,532,996,302,429
+,212,907,697,717,566,894,311,738,760,321
+,613,352,8,846,286,921,540,625,942,150
+,1135,413,456,659,210,908,557,639,807,633
+,16,452,714,353,908,831,800,664,414,794
+,1356,902,308,86,37,550,342,399,742,736
+,619,900,129,532,553,290,218,95,523,565
+,1112,533,348,775,650,163,23,28,911,815
+,1293,606,264,247,852,792,311,743,432,517
+,1344,749,61,861,381,265,642,519,362,126
+,583,774,666,963,127,459,305,586,754,5
+,756,347,241,824,763,595,579,731,915,960
+,500,681,546,864,609,239,358,306,291,682
+,1187,834,732,586,688,143,731,386,532,755
+,714,107,335,528,596,197,842,797,369,465
+,271,150,728,435,848,421,83,94,63,435
+,1170,133,487,219,456,79,378,693,538,412
+,1036,572,531,797,404,892,270,598,510,651
+,436,450,705,953,970,501,749,996,426,843
+,1101,147,517,130,496,728,468,132,991,721
+,150,883,541,120,711,217,466,484,33,764
+,204,966,572,378,943,974,121,616,872,418
+,1153,123,378,585,296,41,535,156,120,380
+,938,383,310,301,497,28,810,146,145,802
+,19,431,49,959,915,312,910,290,220,187
+,148,757,500,2,125,560,357,69,891,45
+,1175,492,586,317,579,463,921,345,800,386
+,936,854,737,853,620,135,780,141,516,651
+,614,779,460,683,459,152,887,745,333,91
+,268,639,680,638,419,396,238,921,404,347
+,1388,46,981,686,911,453,753,284,661,90
+,1213,169,724,25,585,645,815,790,724,316
+,488,660,126,659,572,87,197,978,633,554
+,643,775,54,980,583,534,193,768,487,514
+,418,19,123,674,958,544,184,985,19,281
+,534,210,251,849,722,859,908,593,454,86
+,647,546,621,328,411,603,46,503,882,956
+,1070,348,447,184,424,24,880,540,324,391
+,1157,93,117,101,554,172,292,147,187,261
+,858,91,157,314,975,417,694,173,60,629
+,167,333,185,27,730,59,305,399,101,327
+,81,422,914,331,264,384,964,847,921,123
+,504,207,245,770,611,600,242,504,520,770
+,1166,394,972,117,275,62,325,475,566,416
+,245,495,29,417,648,239,935,907,19,275
+,826,986,600,691,103,252,781,568,667,804
+,481,311,581,416,456,85,866,651,512,208
+,139,991,145,382,553,172,800,251,550,975
+,140,984,933,568,462,42,1,832,475,984
+,380,635,296,668,995,171,0,61,955,943
+,164,279,612,256,859,696,389,359,862,647
+,1040,599,860,522,288,46,165,756,546,576
+,116,307,91,404,715,125,850,143,742,569
+,322,899,442,215,625,516,980,821,325,905
+,1087,968,350,650,267,770,724,463,279,251
+,1029,329,349,215,470,982,613,336,16,935
+,976,136,661,944,2,623,487,4,923,9
+,1196,177,423,569,916,713,720,500,780,402
+,102,83,806,897,664,666,79,551,31,913
+,117,835,687,455,688,126,361,995,832,385
+,642,615,366,396,181,859,786,831,713,8
+,1248,473,379,958,197,455,9,226,760,20
+,1110,287,696,943,726,366,196,92,835,628
+,1186,310,827,735,226,239,505,990,371,37
+,119,504,926,720,723,620,214,7,200,840
+,445,405,113,890,284,582,512,505,174,565
+,607,675,756,579,688,698,617,578,179,66
+,388,131,763,66,130,265,955,583,876,233
+,317,535,746,801,280,196,868,694,23,993
+,996,694,545,629,258,697,573,904,464,2
+,1138,437,656,689,965,665,53,874,961,330
+,1414,864,416,280,124,696,530,477,507,370
+,584,777,44,905,738,229,48,284,940,430
+,931,459,323,5,401,199,342,83,901,585
+,543,25,755,231,706,433,980,76,939,255
+,799,168,337,318,64,641,640,99,28,491
+,4,827,24,606,816,641,957,342,860,256
+,776,110,484,244,981,348,852,55,841,341
+,337,813,242,966,74,794,614,634,449,782
+,1277,640,457,592,127,87,997,62,938,34
+,1397,320,911,868,710,66,801,130,63,941
+,437,452,56,308,625,641,442,67,104,693
+,985,572,53,301,870,390,411,98,632,770
+,1268,238,885,613,806,675,638,10,464,393
+,832,814,438,901,635,634,103,347,666,960
+,340,801,26,464,529,336,601,197,110,105
+,484,609,730,69,607,808,860,198,926,586
+,1484,652,521,262,363,431,492,742,635,455
+,30,248,140,816,45,61,130,319,598,446
+,1107,982,667,772,366,318,597,906,554,794
+,103,150,480,316,617,351,298,377,993,8
+,200,600,673,694,148,58,243,519,838,855
+,1127,879,55,432,352,200,999,205,655,930
+,907,804,70,349,193,683,487,711,708,478
+,154,709,339,872,592,579,986,343,630,306
+,511,336,166,107,465,897,808,932,43,507
+,947,942,3,654,228,709,235,477,638,218
+,1269,492,752,786,975,834,339,826,757,384
+,375,409,188,845,6,371,10,75,366,30
+,1363,117,145,297,450,199,646,599,934,783
+,287,44,998,30,203,202,290,178,224,906
+,918,736,178,347,867,567,251,182,200,22
+,1448,863,268,932,103,21,851,693,140,388
+,1258,806,906,113,346,958,215,312,467,245
+,392,828,381,676,175,963,539,1000,818,638
+,509,444,899,728,66,121,147,903,946,133
+,223,194,196,545,387,711,383,325,613,439
+,694,651,250,943,47,781,630,601,193,874
+,824,301,808,152,335,253,54,644,814,286
+,124,129,871,520,991,598,907,500,214,744
+,201,803,481,809,679,629,66,171,520,397
+,110,903,660,769,521,383,510,531,475,183
+,956,729,382,538,711,494,732,978,506,485
+,841,595,410,653,943,809,597,665,37,212
+,867,916,207,462,883,240,405,223,313,435
+,725,386,585,160,957,862,383,260,563,86
+,882,769,86,302,455,531,360,235,597,42
+,1455,524,636,344,436,461,478,442,418,376
+,193,509,324,279,391,25,183,452,239,271
+,389,77,367,923,84,301,862,513,525,559
+,833,80,804,283,948,233,100,121,73,368
+,1262,559,205,341,201,691,337,256,309,763
+,497,786,699,865,281,195,722,618,141,875
+,968,733,757,556,934,267,8,788,306,288
+,1180,354,801,413,968,415,841,593,775,671
+,1169,483,669,524,779,974,152,886,407,233
+,270,740,767,214,485,239,528,601,804,565
+,1298,479,739,833,472,348,810,87,320,866
+,438,439,788,964,714,427,214,449,460,873
+,994,30,383,142,591,894,131,312,965,755
+,570,511,829,674,854,363,347,230,429,435
+,487,770,413,781,797,707,550,306,333,601
+,1052,581,804,32,944,142,157,1000,975,338
+,1278,644,818,617,935,622,587,887,400,390
+,676,971,400,65,547,395,192,486,111,336
+,64,985,462,654,916,311,95,175,106,691
+,138,181,32,846,705,617,500,27,191,203
+,468,933,986,395,290,210,238,298,675,536
+,120,465,58,377,530,11,175,334,880,931
+,145,400,160,113,132,549,428,489,760,70
+,14,978,925,886,211,133,891,210,317,442
+,1471,726,680,486,162,618,588,961,317,601
+,1205,514,733,701,469,282,206,7,146,456
+,471,844,408,619,826,252,538,336,932,582
+,1134,502,471,473,589,40,754,93,294,661
+,1204,940,467,355,717,862,728,811,304,400
+,43,843,829,870,179,425,255,183,921,632
+,692,442,468,393,932,674,187,715,582,97
+,131,715,968,44,245,906,891,161,280,903
+,460,550,298,682,938,68,714,743,739,923
+,507,930,505,421,780,566,124,377,78,773
+,247,516,784,798,333,419,461,168,258,212
+,924,45,473,27,74,654,711,691,767,472
+,1059,351,763,408,876,199,406,38,10,256
+,897,726,939,139,334,686,766,475,496,472
+,764,84,561,672,248,730,972,448,143,482
+,1375,285,861,165,174,858,18,621,102,181
+,638,127,547,759,400,172,79,687,781,11
+,411,279,157,451,366,182,221,731,35,914
+,1417,545,221,452,713,48,856,650,830,535
+,433,678,733,675,918,105,399,706,315,454
+,866,612,4,49,790,386,785,206,951,255
+,1242,930,244,204,93,16,431,28,14,345
+,1080,196,696,685,64,225,981,903,98,816
+,1384,850,680,171,741,171,45,425,524,110
+,338,334,330,575,641,194,639,212,956,554
+,1125,961,438,123,237,218,108,365,331,177
+,973,411,669,323,12,398,217,469,225,67
+,262,834,285,665,638,377,44,68,906,223
+,257,308,785,613,511,104,729,549,810,944
+,1090,582,175,257,982,97,614,332,646,713
+,141,694,946,995,789,710,136,340,179,650
+,995,905,704,325,871,682,493,69,343,18
+,175,933,599,459,391,523,655,759,238,515
+,1445,721,13,238,21,631,777,918,127,316
+,1393,755,438,775,249,634,81,61,140,383
+,493,303,206,155,384,209,657,38,243,945
+,118,612,968,454,756,898,336,137,284,325
+,490,805,778,40,533,810,424,663,832,295
+,629,24,234,867,750,339,350,248,210,552
+,743,928,939,680,254,820,703,712,736,227
+,229,893,390,533,329,187,452,644,6,66
+,39,503,71,976,197,53,649,144,960,209
+,1000,93,177,606,562,851,814,954,209,241
+,663,80,436,742,478,318,168,738,202,250
+,1226,180,620,254,310,292,590,459,990,650
+,1,278,883,800,492,81,973,995,368,407
+,1086,171,482,451,432,517,624,752,443,778
+,1104,839,976,812,493,20,780,390,437,874
+,330,777,928,943,307,609,550,156,566,744
+,765,263,389,474,313,464,290,384,575,620
+,1366,73,341,139,732,480,200,158,938,194
+,1477,13,882,512,747,742,383,503,414,947
+,1415,962,404,993,760,382,393,501,315,656
+,1338,72,418,906,39,943,127,394,954,579
+,1308,198,781,446,980,261,789,935,769,739
+,611,521,726,500,650,705,377,713,59,666
+,1280,948,434,753,252,248,489,35,943,832
+,217,646,723,692,28,714,681,660,151,267
+,1039,466,966,697,150,260,253,616,592,974
+,365,861,165,12,119,789,94,659,728,938
+,1025,407,723,600,997,922,82,530,931,193
+,539,433,169,849,437,258,708,309,512,990
+,6,674,907,391,600,315,751,421,770,897
+,929,745,890,91,111,651,586,795,816,352
+,323,146,275,766,214,952,766,407,715,315
+,890,172,835,503,1,99,71,792,713,427
+,601,426,670,295,750,441,174,180,383,190
+,1498,137,202,498,186,514,971,112,461,580
+,1463,217,190,205,60,767,187,828,777,196
+,1312,923,892,418,451,641,934,639,111,889
+,1419,170,81,300,87,386,127,283,65,350
+,1099,599,240,489,496,688,778,103,9,62
+,234,769,978,7,681,596,808,42,99,216
+,23,810,7,384,617,532,985,779,272,954
+,1133,484,775,345,618,439,344,379,698,911
+,514,322,836,245,963,369,681,408,387,625
+,1083,998,364,894,338,825,102,3,467,891
+,958,411,742,855,909,947,142,26,616,125
+,1220,543,286,973,716,769,834,254,377,462
+,781,702,674,890,486,527,423,676,192,3
+,788,980,964,832,329,17,648,368,894,46
+,130,826,753,333,694,454,239,621,496,409
+,1221,627,813,83,356,438,961,953,964,953
+,1487,674,877,716,926,102,751,394,300,621
+,327,729,146,890,532,897,585,803,877,733
+,1285,32,130,509,815,89,308,852,689,561
+,313,478,172,917,456,977,118,493,678,553
+,224,249,216,174,771,966,675,716,91,108
+,96,732,29,164,951,951,334,924,392,784
+,186,225,736,263,681,487,974,919,686,126
+,1010,139,944,547,648,742,503,92,814,708
+,1043,892,229,954,589,784,946,615,66,659
+,283,386,932,734,760,753,742,390,669,657
+,1404,575,989,876,447,827,238,228,265,118
+,741,89,114,91,348,758,606,959,192,762
+,817,118,586,376,130,873,320,976,389,590
+,1195,1,318,63,604,548,194,867,397,433
+,877,789,373,816,695,956,815,129,532,679
+,1197,604,227,109,404,9,551,872,471,323
+,538,835,965,303,857,224,511,696,466,150
+,1103,290,149,764,681,869,820,847,719,35
+,1478,327,316,514,705,126,280,868,723,587
+,505,646,848,220,506,298,721,989,385,60
+,1493,341,156,847,733,215,868,750,956,829
+,542,717,753,53,945,886,794,183,877,499
+,292,401,306,834,675,934,868,163,22,561
+,939,345,432,694,484,356,775,400,400,73
+,1316,744,289,289,713,945,199,717,876,561
+,810,99,134,331,770,810,594,886,824,55
+,1022,957,726,311,468,670,167,591,140,452
+,1342,494,298,918,148,214,223,823,766,200
+,435,666,9,370,743,876,589,104,694,804
+,644,151,385,973,437,695,861,172,948,57
+,1161,364,997,485,183,967,53,120,527,665
+,432,607,444,993,152,642,739,413,250,34
+,135,246,406,500,309,704,610,977,176,668
+,548,384,794,708,814,686,674,91,796,474
+,821,837,665,391,281,647,668,455,376,11
+,646,119,84,124,500,656,684,930,521,230
+,1486,600,586,586,491,280,710,763,96,813
+,469,185,393,495,660,719,444,305,585,128
+,114,333,65,730,930,882,814,550,189,415
+,664,717,20,403,569,837,549,802,831,542
+,1402,65,531,857,598,551,730,838,809,667
+,449,771,771,212,988,674,919,120,185,882
+,1140,711,184,5,568,457,819,321,125,40
+,1310,588,211,668,165,89,575,262,871,771
+,552,86,127,518,305,372,989,557,175,433
+,777,967,673,0,254,307,47,968,968,531
+,946,801,300,674,546,455,143,590,502,711
+,334,535,932,360,620,551,522,214,704,101
+,1495,839,45,242,37,192,145,306,876,852
+,1093,980,137,616,565,221,605,367,284,131
+,350,637,432,76,563,261,266,390,665,925
+,1300,409,467,85,967,260,692,435,962,711
+,1247,548,208,72,644,750,275,648,713,661
+,146,731,381,577,673,663,840,523,619,167
+,1327,841,157,323,806,444,388,26,987,618
+,1399,79,276,127,544,112,700,561,416,67
+,546,655,91,371,931,341,796,279,149,889
+,1372,231,280,10,100,386,992,227,387,974
+,429,801,947,126,179,539,745,896,313,602
+,727,826,501,97,541,357,717,585,886,288
+,758,277,622,101,918,49,174,325,969,769
+,333,185,353,825,759,694,991,807,544,564
+,747,903,870,412,488,606,130,265,9,703
+,1301,730,159,673,129,146,387,581,753,273
+,928,940,742,654,997,379,724,796,255,694
+,1462,428,723,468,187,449,362,817,479,514
+,1456,282,975,438,533,964,735,902,945,833
+,206,312,650,878,89,970,312,416,789,320
+,1482,92,649,81,78,747,245,967,95,169
+,163,58,86,761,292,567,951,504,827,895
+,592,985,971,434,693,520,954,748,139,491
+,466,527,701,693,909,545,714,127,415,14
+,1354,194,932,851,763,7,731,435,719,547
+,93,353,250,756,677,973,942,843,901,967
+,142,700,623,43,621,459,987,172,690,952
+,393,782,536,925,230,179,76,375,859,136
+,1182,361,975,52,432,507,388,174,382,993
+,740,346,935,695,255,851,552,871,784,878
+,1266,297,306,494,300,271,218,2,755,646
+,1287,403,222,945,312,951,955,982,658,527
+,600,914,36,957,474,913,632,868,499,58
+,1130,6,630,471,336,305,362,109,5,358
+,161,739,190,411,363,9,103,441,503,202
+,775,541,526,920,157,420,126,935,499,7
+,255,787,672,256,231,481,404,383,306,373
+,1098,913,186,549,831,275,111,449,672,859
+,940,165,143,362,765,444,5,367,904,891
+,88,203,113,194,291,41,136,404,431,761
+,541,922,32,164,682,203,971,490,982,681
+,1236,121,431,500,563,507,819,698,731,130
+,704,769,782,799,902,409,513,743,945,759
+,735,845,398,134,112,980,110,811,21,129
+,198,352,512,13,785,700,242,53,694,849
+,778,439,999,611,755,8,444,491,296,288
+,189,84,779,439,253,632,156,746,523,191
+,1492,287,785,117,884,269,717,253,682,840
+,689,203,485,723,801,829,105,717,747,514
+,440,185,193,875,605,644,649,152,234,123
+,318,410,39,280,196,951,149,436,18,631
+,1468,93,885,52,389,417,537,313,716,648
+,696,227,344,436,490,62,522,437,659,52
+,865,112,275,372,287,965,359,728,428,252
+,1429,916,48,186,41,0,53,676,762,329
+,326,292,483,286,930,621,103,441,189,258
+,13,503,372,342,311,114,99,685,13,699
+,569,788,882,133,339,369,759,829,370,760
+,1206,603,541,619,380,243,665,282,215,598
+,919,89,908,108,133,644,760,616,123,42
+,451,991,934,905,670,837,195,197,721,456
+,859,101,76,964,559,633,351,308,742,485
+,1490,206,546,738,157,44,130,196,428,563
+,1436,258,912,898,777,873,866,928,573,998
+,1330,916,374,459,644,734,120,932,446,69
+,1466,429,536,953,975,515,809,22,170,613
?,2854,2854,2854,2854,2854,2854,2854,2854,2854,2854
?,529,529,529,529,529,529,529,529,529,529
?,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187
?,187,187,187,187,187,187,187,187,187,187
?,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320
?,250,250,250,250,250,250,250,250,250,250
?,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842
?,780,780,780,780,780,780,780,780,780,780
?,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629
?,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028
?,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805
?,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181
?,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104
?,308,308,308,308,308,308,308,308,308,308
?,678,678,678,678,678,678,678,678,678,678
?,1794,1794,1794,1794,1794,1794,1794,1794,1794,1794
?,2087,2087,2087,2087,2087,2087,2087,2087,2087,2087
?,1574,1574,1574,1574,1574,1574,1574,1574,1574,1574
?,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304
?,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599
?,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
?,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488
?,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113
?,848,848,848,848,848,848,848,848,848,848
?,754,754,754,754,754,754,754,754,754,754
?,15,15,15,15,15,15,15,15,15,15
?,656,656,656,656,656,656,656,656,656,656
?,2343,2343,2343,2343,2343,2343,2343,2343,2343,2343
?,893,893,893,893,893,893,893,893,893,893
?,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426
?,2854,2854,2854,2854,2854,2854,2854,2854,2854,2854
?,37,37,37,37,37,37,37,37,37,37
?,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101
?,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
?,2064,2064,2064,2064,2064,2064,2064,2064,2064,2064
?,2899,2899,2899,2899,2899,2899,2899,2899,2899,2899
?,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952
?,2151,2151,2151,2151,2151,2151,2151,2151,2151,2151
?,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061
?,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243
?,903,903,903,903,903,903,903,903,903,903
?,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214
?,2902,2902,2902,2902,2902,2902,2902,2902,2902,2902
?,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
?,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262
?,488,488,488,488,488,488,488,488,488,488
?,701,701,701,701,701,701,701,701,701,701
?,918,918,918,918,918,918,918,918,918,918
?,187,187,187,187,187,187,187,187,187,187
?,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186
?,976,976,976,976,976,976,976,976,976,976
?,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196
?,161,161,161,161,161,161,161,161,161,161
?,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620
?,607,607,607,607,607,607,607,607,607,607
?,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138
?,545,545,545,545,545,545,545,545,545,545
?,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108
?,212,212,212,212,212,212,212,212,212,212
?,2632,2632,2632,2632,2632,2632,2632,2632,2632,2632
?,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020
?,861,861,861,861,861,861,861,861,861,861
?,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190
?,476,476,476,476,476,476,476,476,476,476
?,6,6,6,6,6,6,6,6,6,6
?,2657,2657,2657,2657,2657,2657,2657,2657,2657,2657
?,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424
?,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592
?,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479
?,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512
?,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330
?,341,341,341,341,341,341,341,341,341,341
?,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890
?,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250
?,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082
?,548,548,548,548,548,548,548,548,548,548
?,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673
?,2505,2505,2505,2505,2505,2505,2505,2505,2505,2505
?,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208
?,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330
?,235,235,235,235,235,235,235,235,235,235
?,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564
?,43,43,43,43,43,43,43,43,43,43
?,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457
?,899,899,899,899,899,899,899,899,899,899
?,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146
?,724,724,724,724,724,724,724,724,724,724
?,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049
?,65,65,65,65,65,65,65,65,65,65
?,2202,2202,2202,2202,2202,2202,2202,2202,2202,2202
?,2693,2693,2693,2693,2693,2693,2693,2693,2693,2693
?,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390
?,436,436,436,436,436,436,436,436,436,436
?,2819,2819,2819,2819,2819,2819,2819,2819,2819,2819
?,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565
?,2679,2679,2679,2679,2679,2679,2679,2679,2679,2679
?,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055
?,2566,2566,2566,2566,2566,2566,2566,2566,2566,2566
?,2599,2599,2599,2599,2599,2599,2599,2599,2599,2599
?,2476,2476,2476,2476,2476,2476,2476,2476,2476,2476
?,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257
?,845,845,845,845,845,845,845,845,845,845
?,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812
?,904,904,904,904,904,904,904,904,904,904
?,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329
?,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101
?,836,836,836,836,836,836,836,836,836,836
?,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383
?,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580
?,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
?,638,638,638,638,638,638,638,638,638,638
?,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828
?,950,950,950,950,950,950,950,950,950,950
?,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778
?,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510
?,608,608,608,608,608,608,608,608,608,608
?,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963
?,384,384,384,384,384,384,384,384,384,384
?,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032
?,744,744,744,744,744,744,744,744,744,744
?,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882
?,758,758,758,758,758,758,758,758,758,758
?,722,722,722,722,722,722,722,722,722,722
?,774,774,774,774,774,774,774,774,774,774
?,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334
?,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
?,739,739,739,739,739,739,739,739,739,739
?,2653,2653,2653,2653,2653,2653,2653,2653,2653,2653
?,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156
?,87,87,87,87,87,87,87,87,87,87
?,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271
?,668,668,668,668,668,668,668,668,668,668
?,728,728,728,728,728,728,728,728,728,728
?,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
?,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816
?,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490
?,770,770,770,770,770,770,770,770,770,770
?,285,285,285,285,285,285,285,285,285,285
?,588,588,588,588,588,588,588,588,588,588
?,296,296,296,296,296,296,296,296,296,296
?,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747
?,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005
?,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864
?,2643,2643,2643,2643,2643,2643,2643,2643,2643,2643
?,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649
?,411,411,411,411,411,411,411,411,411,411
?,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158
?,563,563,563,563,563,563,563,563,563,563
?,49,49,49,49,49,49,49,49,49,49
?,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472
?,409,409,409,409,409,409,409,409,409,409
?,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548
